conditionToUnlockIt,canBeUnlockedByAnAmiibo,firstAppearanceInMarioMaker,reference,uniqueName,haveASoundEffectWhenCollected_game,haveASoundEffectWhenCollected,haveASoundEffectOnTaunt_game,haveASoundEffectOnTaunt,haveASoundEffectOnJump_game,haveASoundEffectOnJump,haveASoundEffectOnGroundAfterJump_game,haveASoundEffectOnGroundAfterJump,soundEffectOnMovement,haveASoundEffectOnTurnAfterRun,haveASpecialMusicInStarMode_game,haveASpecialMusicInStarMode,haveASoundEffectWhenOnGoalPole_type,haveASoundEffectWhenOnGoalPole_game,haveASoundEffectWhenOnGoalPole_smallDefinition,haveASoundEffectWhenOnGoalPole,haveASoundEffectOnDeath_type,haveASoundEffectOnDeath_game,haveASoundEffectOnDeath_smallDefinition,haveASoundEffectOnDeath,english,americanEnglish,europeanEnglish,french,canadianFrench,europeanFrench,german,spanish,americanSpanish,europeanSpanish,italian,dutch,portuguese,americanPortuguese,europeanPortuguese,russian,japanese,chinese,traditionalChinese,simplifiedChinese,korean
100 Mario (normal),TRUE,v1.00,KI:U,Dark Pit,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,???,???,TRUE,,KI:U,Lost a life,TRUE,Dark Pit,,,Pit maléfique,,,Finsterer Pit,Pit Sombrío,,,Pit oscuro,Dark Pit,Pit Sombrio,,,Темный Пит,ブラックピット,黑暗彼特,,,블랙 피트
100 Mario (expert),FALSE,,SO,Donbe,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,SO,???,TRUE,,SO,???,TRUE,Donbe,,,Donbe,,,Donbe,Donbe,,,Donbe,Donbe,Donbe,,,Donbe,どんべ,,,,
100 Mario (expert),FALSE,,SO,Hikari,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,SO,???,TRUE,,SO,???,TRUE,Hikari,,,Hikari,,,Hikari,Hikari,,,Hikari,Hikari,Hikari,,,Hikari,ひかり,,,,
100 Mario (normal),TRUE,,MeM,Mega Man,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,MeM,Level finished,TRUE,,MeM,Lost a life,TRUE,Mega Man,,,Mega Man,,,Mega Man,Mega Man,,,Mega Man,Mega Man,Mega Man,,,Мегамен,ロックマン,洛克人,,,록맨
100 Mario (expert),FALSE,,FDCP2,Ayumi Tachibana,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,???,???,TRUE,,???,???,TRUE,Ayumi Tachibana,,,Ayumi Tachibana,,,Ayumi Tachibana,Ayumi Tachibana,,,Ayumi Tachibana,Ayumi Tachibana,Ayumi Tachibana,,,Ayumi Tachibana,橘 あゆみ,,,,
100 Mario (normal),TRUE,v1.00,FE:SD,Marth,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,???,???,TRUE,,???,???,TRUE,Marth,,,Marth,,,Marth,Marth,,,Marth,Marth,Marth,,,Марс,マルス,,馬爾斯,马尔斯,마르스
100 Mario (normal),TRUE,v1.00,FE:RD,Ike,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,???,???,TRUE,,???,???,TRUE,Ike,,,Ike,,,Ike,Ike,,,Ike,Ike,Ike,,,Айк,アイク,艾克,,,아이크
100 Mario (expert),TRUE,v1.00,FEA,Lucina,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,???,???,TRUE,,???,???,TRUE,Lucina,,,Lucina,,,Lucina,Lucina,,,Lucina,Lucina,Lucina,,,Луцина,ルキナ,露琪娜,,,루키나
100 Mario (expert),TRUE,v1.00,FEA,Robin,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,???,???,TRUE,,???,???,TRUE,Robin,,,,Robin,Daraen,Daraen,,Robin,Daraen,Daraen,Robin,Robin,,,Робин,ルフレ,,魯弗萊,鲁弗莱,러플레
100 Mario (normal),TRUE,v1.00,F-Z,Captain Falcon,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,F-Z,Course completed,TRUE,,F-Z,Eliminated from the course,TRUE,Captain Falcon,,,,Capitaine Falcon,Captain Falcon,Captain Falcon,,Capitán Falcon,Captain Falcon,Captain Falcon,Captain Falcon,Captain Falcon,,,Капитан Фэлкон,キャプテン・ファルコン,,飛隼隊長,飞隼队长,캡틴 팔콘
100 Mario (expert),TRUE,v1.00,STH,Sonic,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,STH,Level finished,TRUE,,STH,Lost a life,TRUE,Sonic,,,Sonic,,,Sonic,Sonic,,,Sonic,Sonic,Sonic,,,Соник,ソニック,,,,소닉
100 Mario (normal),TRUE,v1.00,KDL,Kirby,,TRUE,,FALSE,,TRUE,,TRUE,,TRUE,,FALSE,,KDL,Level finished,TRUE,,KDL,Lost a life,TRUE,Kirby,,,Kirby,,,Kirby,Kirby,,,Kirby,Kirby,Kirby,,,Кирби,カービィ,卡比,,,커비
100 Mario (expert),TRUE,v1.00,KDL,King Dedede,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,KDL,Level finished,TRUE,,KDL,Lost a life,TRUE,King Dedede,,,,Roi Dadidou,Roi DaDiDou,König Dedede,Rey Dedede,,,King Dedede,King Dedede,King Dedede,,,Король Дидиди,デデデ大王,帝帝帝大王,,,디디디 대왕
100 Mario (normal),TRUE,v1.00,KA,Meta Knight,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,KDL,Level finished,TRUE,,KDL,Lost a life,TRUE,Meta Knight,,,Meta Knight,,,Meta-Knight,Meta Knight,,,Meta Knight,Meta Knight,Meta Knight,,,Метанайт,メタナイト,,,,메타 나이트
100 Mario (expert),TRUE,v1.00,SF,Fox McCloud,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,???,Level finished,TRUE,,SF,Lost an Arwing,TRUE,Fox McCloud,,,Fox McCloud,,,Fox McCloud,Fox McCloud,,,Fox McCloud,Fox McCloud,Fox McCloud,,,Фокс Мак-Клауд,フォックス・マクラウド,火狐・麥克勞德,,,폭스 맥클라우드
100 Mario (expert),TRUE,v1.00,SF,Falco Lombardi,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,???,Level finished,TRUE,,SF,Lost an Arwing,TRUE,Falco Lombardi,,,,Falco,Falco Lombardi,Falco Lombardi,Falco Lombardi,,,Falco Lombardi,Falco Lombardi,Falco Lombardi,,,Фалько Ломбарди,ファルコ・ランバルディ,法爾科・蘭巴帝,,,팔코 람바디
100 Mario (easy),FALSE,v1.00,SF,Slippy Toad,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,???,Level finished,TRUE,,SF,Lost an Arwing,TRUE,Slippy Toad,,,Slippy Toad,,,Slippy Toad,Slippy Toad,,,Slippy Toad,Slippy Toad,Slippy Toad,,,Слиппи Тоад,スリッピー・トード,,,,
100 Mario (normal),FALSE,v1.00,SF,Peppy Hare,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,???,Level finished,TRUE,,SF,Lost an Arwing,TRUE,Peppy Hare,,,Peppy Hare,,,Peppy Hare,Peppy Hare,,,Peppy Hare,Peppy Hare,Peppy Hare,,,Пеппи Хэар,ペッピー・ヘア,,,,
100 Mario (normal),FALSE,v1.00,SFZ,Arwing,,TRUE,,TRUE,,FALSE,,TRUE,,TRUE,,FALSE,,SFZ,Level finished,TRUE,,SFZ,lost an Arwing,TRUE,Arwing,,,Arwing,,,Arwing,Arwing,,,Arwing,Arwing,Arwing,,,Арвинг,アーウィン,,,,
100 Mario (normal),TRUE,v1.00,EB,Ness,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,EB,New technique acquired,TRUE,,EB,Defeated,TRUE,Ness,,,Ness,,,Ness,Ness,,,Ness,Ness,Ness,,,Несс,ネス,奈斯,,,네스
100 Mario (expert),FALSE,v1.00,M3,Lucas,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,M3,New technique acquired,TRUE,,M3,Defeated,TRUE,Lucas,,,Lucas,,,Lucas,Lucas,,,Lucas,Lucas,Lucas,,,Лукас,リュカ,琉加,,,류카
Complete Event,FALSE,,EB,Master Belch,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,EB,New technique acquired,TRUE,,EB,Defeated,TRUE,Master Belch,,,Master Belch,,,Master Belch,Master Belch,,,Master Belch,Master Belch,Master Belch,,,Мастер Белч,ゲップー,,,,
Complete Event,FALSE,,EB,Mr. Saturn,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,EB,New technique acquired,TRUE,,EB,Defeated,TRUE,Mr. Saturn,,,Mr. Saturn,,,Mr. Saturn,Mr. Saturn,,,Mr. Saturn,Mr. Saturn,Mr. Saturn,,,Господин Сатурн,どせいさん,,,,토성씨
Complete Event,FALSE,,Pokémon gen 1,Bulbasaur,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,Pokémon gen 1,Gym Leader victory,TRUE,,Pokémon gen 1,???,TRUE,Bulbasaur,,,Bulbizarre,,,Bisasam,Bulbasaur,,,Bulbasaur,Bulbasaur,Bulbasaur,,,Бульбазавр,フシギダネ,,,,이상해씨
Complete Event,FALSE,,Pokémon gen 1,Charmander,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,Pokémon gen 1,Gym Leader victory,TRUE,,Pokémon gen 1,???,TRUE,Charmander,,,Salamèche,,,Glumanda,Charmander,,,Charmander,Charmander,Charmander,,,Чармандер,ヒトカゲ,,,,파이리
100 Mario (normal),TRUE,v1.00,Pokémon gen 1,Charizard,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,FALSE,,,,FALSE,Charizard,,,Dracaufeu,,,Glurak,Charizard,,,Charizard,Charizard,Charizard,,,Чаризард,リザードン,,,,리자몽
Complete Event,FALSE,,Pokémon gen 1,Squirtle,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,Pokémon gen 1,Gym Leader victory,TRUE,,Pokémon gen 1,???,TRUE,Squirtle,,,Carapuce,,,Schiggy,Squirtle,,,Squirtle,Squirtle,Squirtle,,,Сквиртл,ゼニガメ,,,,꼬부기
100 Mario (normal),TRUE,v1.00,Pokémon gen 1,Pikachu,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,FALSE,,,,FALSE,Pikachu,,,Pikachu,,,Pikachu,Pikachu,,,Pikachu,Pikachu,Pikachu,,,Пикачу,ピカチュウ,,,,피카츄
100 Mario (normal),TRUE,v1.00,Pokémon gen 1,Jigglypuff,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,FALSE,,,,FALSE,Jigglypuff,,,Rondoudou,,,Pummeluff,Jigglypuff,,,Jigglypuff,Jigglypuff,Jigglypuff,,,Джиглипафф,プリン,,,,푸린
100 Mario (normal),TRUE,v1.00,Pokémon gen 1,Mewtwo,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,FALSE,,,,FALSE,Mewtwo,,,Mewtwo,,,Mewtu,Mewtwo,,,Mewtwo,Mewtwo,Mewtwo,,,Мьюту,ミュウツー,,,,뮤츠
100 Mario (expert),TRUE,v1.00,Pokémon gen 4,Lucario,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,FALSE,,,,FALSE,Lucario,,,Lucario,,,Lucario,Lucario,,,Lucario,Lucario,Lucario,,,Лукарио,ルカリオ,,,,루카리오
100 Mario (expert),TRUE,v1.00,Pokémon gen 6,Greninja,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,FALSE,,,,FALSE,Greninja,,,Amphinobi,,,Quajutsu,Greninja,,,Greninja,Greninja,Greninja,,,Грениндзя,ゲッコウガ,甲賀忍蛙,,,개굴닌자
100 Mario (normal),TRUE,v1.00,AC,Villager,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,AC,???,TRUE,,???,Player has fainted,TRUE,Villager,,,,Habitant,Villageois,Bewohner,Aldeano,,,Abitante,Dorpsbewoner,Villager,,,Житель,むらびと,村民,,,마을 주민
100 Mario (expert),TRUE,v1.00,AC,Tom Nook,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,AC,???,TRUE,,???,Player has fainted,TRUE,Tom Nook,,,Tom Nook,,,Tom Nook,Tom Nook,,,Tom Nook,Tom Nook,Tom Nook,,,Том Нук,たぬきち,,,,너굴
100 Mario (easy),TRUE,v1.00,AC,K.K. Slider,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,AC,???,TRUE,,???,K.K. howling,TRUE,K.K. Slider,,,Kéké Laglisse,,,K.K.,Totakeke,,,K.K. Slider,K.K. Slider,K.K. Slider,,,К. К. Слайдер,とたけけ,,,,
100 Mario (normal),TRUE,v1.00,AC,Resetti,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,AC,???,TRUE,,???,Player has fainted,TRUE,Resetti,,,Resetti,,,Resetti,Rese T.,,,Resetti,Resetti,Resetti,,,Ресетти,リセットさん,,,,
100 Mario (expert),TRUE,v1.00,AC,Rover,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,AC,???,TRUE,,???,Player has fainted,TRUE,Rover,,,Charly,,,Olli,Fran,,,Girolamo,Rover,Rover,,,Ровер,みしらぬネコ,,,,낯선고양이
100 Mario (normal),TRUE,v1.00,AC,Timmy & Tommy,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,AC,???,TRUE,,???,Player has fainted,TRUE,Timmy & Tommy,,,Méli & Mélo,,,Nepp & Schlepp,Tendo y Nendo,,,Mirco e Marco,Timmy en Tommy,Timmy e Tommy,,,Тимми и Томми,まめきち・つぶきち,,,,콩돌 & 밤돌
100 Mario (easy),TRUE,v1.00,AC,Blathers,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,AC,???,TRUE,,???,Player has fainted,TRUE,Blathers,,,Thibou,,,Eugen,Sócrates,,,Blatero,Blathers,Blathers,,,Блезерс,フータ,傅达,,,부엉
100 Mario (normal),TRUE,v1.00,AC,Mabel,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,AC,???,TRUE,,???,Player has fainted,TRUE,Mabel,,,Layette,,,Tina,Pili,,,Agostina,Mabel,Mabel,,,Мэйбл,きぬよ,,,,고순이
100 Mario (easy),TRUE,v1.00,AC,Kapp'n,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,AC,???,TRUE,,???,Player has fainted,TRUE,Kapp'n,,,Amiral,,,Käpten,Capitán,,,Remo,Kapp'n,Kapp'n,,,Кэпн,かっぺい,航平,,,
100 Mario (easy),TRUE,v1.00,AC:WW,Celeste,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,AC,???,TRUE,,???,Player has fainted,TRUE,Celeste,,,Céleste,,,Eufemia,Estela,,,Celeste,Celeste,Celeste,,,Селеста,フーコ,傅珂,,,부옥
100 Mario (normal),TRUE,v1.00,AC:CF,Kicks,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,AC,???,TRUE,,???,Player has fainted,TRUE,Kicks,,,Blaise,,,Schubert,Betunio,,,Sciuscià,Kicks,Kicks,,,Кикс,シャンク,,,,패트릭
100 Mario (normal),TRUE,v1.00,AC:NL,Isabelle (Summer Outfit),,TRUE,,FALSE,,TRUE,,TRUE,,FALSE,,FALSE,,AC,???,TRUE,,???,Player has fainted,TRUE,Isabelle (Summer Outfit),,,Marie (tenue d'été),,,Melinda (Sommer-Outfit),Canela (ropa de verano),,,Fuffi (vestito estivo),Isabelle (zomerkleding),Isabelle (Roupa de Verão),,,Изабель (летняя одежда),しずえ（夏服）,,,,
100 Mario (expert),TRUE,v1.00,AC:NL,Isabelle (Winter Outfit),,TRUE,,FALSE,,TRUE,,TRUE,,FALSE,,FALSE,,AC,???,TRUE,,???,Player has fainted,TRUE,Isabelle (Winter Outfit),,,Mario (tenue d'hiver),,,Melinda (Winter-Outfit),Canela (ropa de invierno),,,Fuffi (vestito invernale),Isabelle (winterkleding),Isabelle (Roupa de Inverno),,,Изабель (зимняя одежда),しずえ（冬服）,,,,
100 Mario (easy),TRUE,v1.00,AC:NL,Digby,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,AC,???,TRUE,,???,Player has fainted,TRUE,Digby,,,Max,,,Moritz,Candrés,,,Fofò,Digby,Digby,,,Дигби,ケント,西施德,,,켄트
100 Mario (normal),TRUE,v1.00,AC:NL,Cyrus,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,AC,???,TRUE,,???,Player has fainted,TRUE,Cyrus,,,Serge,,,Björn,Al,,,Merino,Cyrus,Cyrus,,,Сайрус,カイゾー,健兆,,,리포
100 Mario (expert),TRUE,v1.00,AC:NL,Reese,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,AC,???,TRUE,,???,Player has fainted,TRUE,Reese,,,Risette,,,Rosina,Paca,,,Alpaca,Reese,Reese,,,Риз,リサ,,,,리사
100 Mario (expert),TRUE,v1.00,AC:HHD,Lottie,,TRUE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,AC,???,TRUE,,???,Player has fainted,TRUE,Lottie,,,Lou,,,Karlotta,Nuria,,,Casimira,Lottie,Lottie,,,Лотти,タクミ,巧美,,,솜이
100 Mario (expert),TRUE,,Pi,Captain Olimar,,TRUE,,TRUE,,2,,FALSE,,TRUE,,FALSE,,Pi3,Important item obtained,TRUE,,???,???,TRUE,Captain Olimar,,,Capitaine Olimar,,,Captain Olimar,Captán Olimar,,,Capitano Olimar,Kapitein Olimar,Captain Olimar,,,Капитан Олимар,キャプテン・オリマー,,,,
100 Mario (easy),TRUE,,Pi,Pikmin,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,Pi3,Important item obtained,TRUE,,Pi,Pikmin death,TRUE,Pikmin,,,Pikmin,,,Pikmin,Pikmin,,,Pikmin,Pikmin,Pikmin,,,Пикмин,ピクミン,皮克敏,,,피크민
100 Mario (normal),TRUE,v1.00,CR,Chibi-Robo,,TRUE,,TRUE,,2,,TRUE,,FALSE,,FALSE,,CR,Rank up,TRUE,,CR,Ran out of energy,TRUE,Chibi-Robo,,,Chibi-Robo,,,Chibi-Robo,Chibi-Robo,,,Chibi-Robo,Chibi-Robo,Chibi-Robo,,,Чиби-Робо,ちびロボ,,,,
100 Mario (normal),FALSE,v1.00,WF,Wii Balance Board,,TRUE,,TRUE,,2,,TRUE,,TRUE,,FALSE,,WF,???,TRUE,,WF,Minigame lost,TRUE,Wii Balance Board,,,Wii Balance Board,,,Wii Balance Board,Wii Balance Board,,,Wii Balance Board,Wii Balance Board,Wii Balance Board,,,Wii Balance Board,ウィーボ,,,,
100 Mario (normal),TRUE,v1.00,WF,Wii Fit Trainer,,TRUE,,TRUE,,2,,FALSE,,FALSE,,FALSE,,WF,???,TRUE,,WF,Minigame lost,TRUE,Wii Fit Trainer,,,Entraîneuse Wii Fit,,,Wii Fit-Trainerin,Entrenadora de Wii Fit,,,Trainer di Wii Fit,Wii Fit-trainer,Instructora do Wii Fit,,,Тренер Wii Fit,Wii Fitトレーナー,,Wii Fit教練,Wii Fit教练,Wii Fit 트레이너
100 Mario (normal),TRUE,v1.00,XC,Shulk,,TRUE,,TRUE,,2,,FALSE,,FALSE,,FALSE,,XC,Secret area discovered,TRUE,,,,FALSE,Shulk,,,Shulk,,,Shulk,Shulk,,,Shulk,Shulk,Shulk,,,Шулк,シュルク,修爾克,,,슈르크
Complete Event,FALSE,,MH,Felyne,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,MH,???,TRUE,,MH,???,TRUE,Felyne,,,Felyne,,,Felyne,Felyne,,,Felyne,Felyne,Felyne,,,Felyne,アイルー,,,,
Complete Event,FALSE,,DBBP,Yu Ayasaki,,TRUE,,TRUE,,2,,FALSE,,TRUE,,FALSE,,,,+ humming,,,???,TRUE,Yu Ayasaki,,,Yu Ayasaki,,,Yu Ayasaki,Yu Ayasaki,,,Yu Ayasaki,Yu Ayasaki,Yu Ayasaki,,,Yu Ayasaki,彩崎 ゆう,,,,
Complete Event,FALSE,,BA:TYBMD,Dr. Kawashima,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,BA:TYBMD,???,TRUE,,BA:TYBMD,???,TRUE,,Dr. Kawashima,Dr Kawashima,Dr Kawashima,,,Dr. Kawashima,Dr. Kawashima,,,Dr. Kawashima,Dr. Kawashima,Dr. Kawashima,,,Доктор Кавасима,川島教授,,,,
100 Mario (easy),FALSE,,BBA,Dr. Lobe,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,BBA,???,TRUE,,BBA,???,TRUE,Dr. Lobe,,,Professeur Neurone,,,Professor Lobo,Dr. Azo,,,Prof. Bilancini,Dr. Lobe,Dr. Lobe,,,Доктор Лоб,ハカリ先生,,,,
Complete Event,FALSE,,JB,Barbara the Bat,,TRUE,,TRUE,,2,,FALSE,,FALSE,,FALSE,,JB,???,TRUE,,JB,???,TRUE,Barbara the Bat,,,Barbara the Bat,,,Barbara the Bat,Barbara the Bat,,,Barbara the Bat,Barbara the Bat,Barbara the Bat,,,Барбара,バーバラ・バット,,,,
Complete Event,FALSE,,TLS,Starfy,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,TLS,???,TRUE,,TLS,???,TRUE,Starfy,,,Starfy,,,Starfy,Starfy,,,Starfy,Starfy,Starfy,,,Старфи,スタフィー,,,,
100 Mario (super expert),TRUE,,Pu,Mallo,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,Pu,Level finished,TRUE,,Pu,Lost a life,TRUE,Mallo,,,,Mallo,Millo,Mallo,,Mallo,Millo,Mallo,Mallo,Mallo,,,Мэлло,マロ,,,,
100 Mario (normal),FALSE,,Sn,Nikki,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,Sn,3DS preview jingle,TRUE,,Sn,???,TRUE,Nikki,,,Nikki,,,Nikki,Nikki,,,Nikki,Nikki,Nikki,,,Никки,ニッキー,,,,
100 Mario (super expert),FALSE,,MoM,Iris Archwell,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,MoM,???,TRUE,,MoM,???,TRUE,,Iris Archwell,Ella Mentree,Charlotte Aulme,,,Clara Kluge,Clara Sagaz,,,Linda Ginetta,Charlotte Hoorn,Elsa Betudo,,,Маша Прозорливая,シーラ・ベル,,,,
Complete Event,FALSE,,NBA,Arcade bunny,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,NBA,3DS preview jingle,TRUE,,NBA,Practice Catcher result jingle,TRUE,,Arcade bunny,Arcade Bunny,,Lapin de l'arcade,Lapin,Arcade-Hase,,Conejo Arcadio,Conejo de los recreativos,Coniglietto della sala giochi,Arcadehalkonijn,Coelho dos Jogos,,,Кролик-заведующий,バイト,,,,
Complete Event,FALSE,,N,Chitoge Kirisaki,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,,,FALSE,,,,FALSE,Chitoge Kirisaki,,,Chitoge Kirisaki,,,Chitoge Kirisaki,Chitoge Kirisaki,,,Chitoge Kirisaki,Chitoge Kirisaki,Chitoge Kirisaki,,,Chitoge Kirisaki,桐崎 千棘,,,,
100 Mario (normal),TRUE,v1.00,Sp,Inkling Squid,,TRUE,,TRUE,,2,,TRUE,,FALSE,,FALSE,,Sp,Level finished,TRUE,,Sp,Game over,TRUE,Inkling Squid,,,,Calmar inkling,Calamar Inkling,Inkling-Tintenfisch,Inkling calamar,,,Calamaro Inkling,Inkling-inktvis,Lula Inkling,,,Инклинг-кальмар,イカ,,,,
100 Mario (expert),TRUE,v1.00,Sp,Inkling Boy,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,Sp,Level finished,TRUE,,Sp,Game over,TRUE,Inkling Boy,,,,Garçon inkling,Garçon Inkling,Inkling-Junge,Inkling chico,,,Ragazzo Inkling,Inkling-jongen,Rapa Inkling,,,Инклинг-мальчик,ボーイ,,,,
100 Mario (expert),TRUE,v1.00,Sp,Inkling Girl,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,Sp,Level finished,TRUE,,Sp,Game over,TRUE,Inkling Girl,,,,Fille inkling,Fille Inkling,Inkling-Mädchen,Inkling chica,,,Ragazza Inkling,Inkling-meisje,Rapariga Inkling,,,Инклинг-девочка,ガール,,,,
Complete Event,TRUE,,Sp,Callie,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,Sp,Declaring the Splatfest's winning team,TRUE,,Sp,Game over,TRUE,Callie,,,Ayo,,,Aioli,Mar,,,Stella,Callie,Callie,,,Кэлли,アオリ,香匙,,,아오리
Complete Event,TRUE,,Sp,Marie,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,Sp,Declaring the Splatfest's winning team,TRUE,,Sp,Game over,TRUE,Marie,,,Oly,,,Limone,Tina,,,Marina,Marie,Marie,,,Мари,ホタル,萤火,,,호타루
100 Mario (normal),TRUE,v1.00,NES ROB,R.O.B.,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,???,???,TRUE,,???,???,TRUE,R.O.B.,,,R.O.B.,,,R.O.B.,R.O.B.,,,R.O.B.,R.O.B.,R.O.B.,,,R.O.B.,ロボット,,機器人,机器人,
100 Mario (super expert),FALSE,,FDS,Diskun,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FDS,Startup,TRUE,,FDS,Error sound,TRUE,Diskun,,,Diskun,,,Diskun,Diskun,,,Diskun,Diskun,Diskun,,,Diskun,ディスくん,,,,
100 Mario (normal),FALSE,v1.00,YH-O,Mahjong Tile,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,YH-O,???,TRUE,,YH-O,???,TRUE,Mahjong Tile,,,Tuile de Mahjong,,,Mah-Jongg-Stein,Ficha de mahjong,,,Tessera del mahjong,Mahjongsteen,Peça de Mahjong,,,Кость для маджонга,麻雀牌,,,,
Complete Event,FALSE,,HK,Kitty White,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,Marimba,,,TRUE,Marimba,,,TRUE,Kitty White,,,Kitty White,,,Kitty White,Kitty White,,,Kitty White,Kitty White,Kitty White,,,Kitty White,キティ・ホワイト,,,,
Complete Event,FALSE,,MyM,Melody,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,Marimba,,,TRUE,Marimba,,,TRUE,Melody,,,Melody,,,Melody,Melody,,,Melody,Melody,Melody,,,Melody,メロディ,,,,
Complete Event,FALSE,,SS,Shaun the Sheep,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,,,FALSE,,,,TRUE,Shaun the Sheep,,,Shaun le Mouton,,,Shaun das Schaf,La Oveja Shaun,,,"Shaun, Vita da Pecora",Shaun het Schaap,A Ovelha Choné,,,Барашек Шон,ひつじのショーン,,,,
Complete 3 Events (by Arino),FALSE,,GCCX,Arino KACHO,,TRUE,,TRUE,,2,,FALSE,,FALSE,,FALSE,,,,+ singing,,,,TRUE,Arino KACHO,,,Arino KACHO,,,Arino KACHO,Arino KACHO,,,Arino KACHO,Arino KACHO,Arino KACHO,,,Arino KACHO,有野課長,,,,
