notificationIfUnlocked,MM2_version,category,english,americanEnglish,europeanEnglish,french,canadianFrench,europeanFrench,german,spanish,americanSpanish,europeanSpanish,italian,dutch,portuguese,americanPortuguese,europeanPortuguese,russian,japanese,chinese,traditionalChinese,simplifiedChinese,korean
Finish all jobs (Mr. Eraser),,Top,Refreshing Shirt,,,Chandail de l'oubli,,,Radierer-Shirt,Camiseta rectificadora,,,Maglia di Mr. Gomma,Uitwistrui,,,,Футболка с Ластиком,さわやかなシャツ,,清爽的襯衫,清新衬衫,깔끔한 셔츠
Finish all jobs (Partrick),,Top,Partrick Shirt,,,T-shirt M. Élément,,,Mauritius-Hemd,Camiseta Muroberto,,,Maglietta di Mattonello,Stein-T-shirt,,,,Футболка с Кирпичиком,パーツ君のシャツ,,零件小子的襯衫,零件小子衬衫,파츠군 셔츠
Finish all jobs (Soundfrog),,Headgear,Frog Cap,,,Chapeau sonore,,,Frosch-Hut,Gorro ruidoso,,,Cappello sonoro,Kwekhoed,,,,Шапка Лягушки,にぎやかなぼうし,,歡樂的帽子,闹闹帽,개굴개굴 모자
Finish all jobs (Yamamura),,Top,Yamamura Shirt,,,,Camisole Yamamura,Pull sans manches Yamamura,Yamamura-Strickhemd,Chaleco Yamamura,,,Maglia di Yamamura,Yamamura-shirt,,,,Футболка от Ямамуры,ヤマムラのシャツ,,亞瑪姆拉的襯衫,亚玛姆拉衬衫,야마무라 민소매 니트
Collect 1 stamp in the Ninji Speedruns,2.0.0,Headgear,Ninji Cap,,,Coiffe de Ninji,,,Ninji-Mütze,,Gorra ninji,Gorra Ninji,Cappello Ninji,Ninji-muts,,,,Шапка ниндзика,ハックンのぼうし,,哈庫的帽子,哈库的帽子,닌군 모자
Collect 4 stamp in the Ninji Speedruns,2.0.0,Top,Ninji Shirt,,,Haut de Ninji,,,Ninji-Hemd,,Camisa ninji,Camisa Ninji,Maglia Ninji,Ninji-shirt,,,,Футболка ниндзика,ハックンのシャツ,,哈庫的襯衫,哈库的衬衫,닌군 셔츠
Collect 7 stamp in the Ninji Speedruns,2.0.0,Bottom,Ninji Slacks,,,Pantalon de Ninji,,,Ninji-Hose,,Pantalón ninji,Pantalón Ninji,Pantaloni Ninji,Ninji-broek,,,,Штаны ниндзика,ハックンのパンツ,,哈庫的褲子,哈库的裤子,닌군 바지
Collect 10 stamp in the Ninji Speedruns,2.0.0,Costume,Ninji Garb,,,Costume de Ninji,,,Ninji-Anzug,,Traje de ninji,Traje de Ninji,Tuta Ninji,Ninji-trainingspak,,,,Костюм ниндзика,ハックンの服,,哈庫的服裝,哈库的服装,닌군 옷
Collect 11 stamp in the Ninji Speedruns,2.0.0,Headgear,Cheetah Headgear,,,Coiffe de guépard,,,Gepard-Kapuze,Gorro de guepardo,,,Copricapo ghepardo,Chetamuts,,,,Гепардовая шапка,チーターのかぶり物,,獵豹頭套,猎豹头套,치타 모자
Collect 14 stamp in the Ninji Speedruns,2.0.0,Top,Cheetah Tanktop,,,Débardeur guépard,,,Gepard-Unterhemd,Camiseta tirantes guepardo,,,Canottiera ghepardo,Cheetapootshirt,,,,Гепардовая майка,チーターのタンクトップ,,獵豹上衣,猎豹上衣,치타 탱크톱
Collect 17 stamp in the Ninji Speedruns,2.0.0,Bottom,Cheetah Runners,,,Short guépard,,,Gepard-Shorts,Pantalón corto de guepardo,,,Pantaloncini ghepardo,Cheeta-short,,,,Гепардовые шорты,チーターの短パン,,獵豹短褲,猎豹短裤,치타 반바지
Collect 20 stamp in the Ninji Speedruns,2.0.0,Costume,Cheetah Suit,,,Costume de guépard,,,Gepard-Anzug,Traje de guepardo,,,Costume ghepardo,Cheetapak,,,,Костюм гепарда,チーターの着ぐるみ,,獵豹布偶裝,猎豹布偶服,치타 코스튬
Clear 1 Super World,3.0.0,Top,Fire Mario Shirt,,,T-shirt Mario de feu,,,Feuer-Mario-Shirt,,Camiseta de Mario de fuego,Camiseta de Mario de Fuego,Maglia di Mario fuco,Vuur-Mario-T-shirt,,,,Майка с Огненным Марио,ファイアマリオのシャツ,,火焰瑪利歐的襯衫,火焰马力欧衬衫,파이어마리오 셔츠
Clear 2 Super World,3.0.0,Top,Racoon Mario Shirt,,,T-shirt Mario raton laveur,,,Waschbär-Mario-Shirt,,Camiseta de Mario mapache,Camiseta de Mario Mapache,Maglia di Mario procione,Wasbeer-Mario-T-shirt,,,,Футболка с Марио-енотом,しっぽマリオのシャツ,,尾巴瑪利歐的襯衫,尾巴马力欧衬衫,꼬리마리오 셔츠
Clear 3 Super World,3.0.0,Top,Cape Mario Shirt,,,T-shirt Mario cape,,,Cape-Mario-Shirt,,Camiseta de Mario con capa,Camiseta de Mario con Capa,Maglia di Mario con la capa,Cape-Mario-T-shirt,,,,Футболка с Марио в плаще,マントマリオのシャツ,,斗篷瑪利歐的襯衫,斗篷马力欧衬衫,망토마리오 셔츠
Clear 4 Super World,3.0.0,Top,Flying Squirrel Mario Shirt,,,T-shirt Mario écureuil volant,,,Flughörnchen-Mario-Shirt,,Camiseta Mario ardilla voladora,Camiseta Mario Ardilla Voladora,Maglia di Mario scoiattolo volante,Vliegende-Eekhoorn-Mario-T-shirt,,,,Майка с Марио-летягой,ムササビマリオのシャツ,,飛鼠瑪利歐的襯衫,飞鼠马力欧衬衫,날다람쥐마리오 셔츠
Clear 5 Super World,3.0.0,Top,Cat Mario Shirt,,,T-shirt Mario chat,,,Katzen-Mario-Shirt,,Camiseta de Mario felino,Camiseta de Mario Felino,Maclia di Mario gatto,Kat-Mario-T-shirt,,,,Футболка с Марио-котом,ネコマリオのシャツ,,貓咪瑪利歐的襯衫,猫咪马力欧衬衫,고양이마리오 셔츠
Upload a Super World,3.0.0,Costume,World Wear,,,,Salopette carte du monde,Bleu carte du monde,Welten-Anzug,Traje mapa de mundo,,,Vestiti mondo,Wereldoutfit,,,,Мировая одежда,ワールドの服,,世界的服裝,世界服,월드 옷
