entityType,firstAppearanceInMarioMaker,firstAppearanceInMarioMaker_version,isInSuperMarioMaker1,isInSuperMarioMakerFor3DS,isInSuperMarioMaker2,isInSMBGameStyle,isInSMB3GameStyle,isInSMWGameStyle,isInNSMBUGameStyle,isInSM3DWGameStyle,isInGroundTheme,isInUndergroundTheme,isInUnderwaterTheme,isInDesertTheme,isInSnowTheme,isInSkyTheme,isInForestTheme,isInGhostHouseTheme,isInAirshipTheme,isInCastleTheme,isInDayTime,isInNightTime,categoryInTheEditor,hasAMushroomVariant,canBeInAParachute,canBeInAParachute_comment,canHaveWings,canHaveWings_comment,canContainOrSpawnAKey,isAffectedDirectlyByAnOnOrOffState,isAffectedDirectlyByAnOnOrOffState_comment,canBePutOnATrack,editorLimit_canBePutOnATrack,whilePlaying_canBePutOnATrack,canSpawnOutOfAPipe,canBePutInASwingingClaw,canBeThrownByALakitu,canBePutInALakituCloud,canBePutInAClownCar,canBeFiredOutOfABulletLauncher,canComeOutOfABlock,canBePutInATree,weight,lightSourceEmitted,lightSourceEmitted_isInSMB,canSurviveInTheLavaOrThePoison,canIgniteABobOmb,canBeBrokenOrKilledByABobOmb,canBeAffectedByATwister,canGoThroughWalls,canGoThroughWalls_SM3DW,canBeStacked,isGlobalGroundOrGlobal,isGlobalGroundOrGlobal_SM3DW,instrument,canMakeASoundOutOfAMusicBlock,canMakeASoundOutOfAMusicBlock_comment,canBeThrownByBowserInClownCar,canBeThrownByBowserJr,canBeThrownByBowserJrInClownCar,canBeTransformedByMagikoopa,canBeSpawnedByMagikoopa,canBeSpawnedByWingedMagikoopa,limitAmount,editorLimit_SMM1And3DS,editorLimit_SMM2,editorLimit_SMM2_isUnknown,whilePlaying_isInGEL,whilePlaying_isInGEL_comment,whilePlaying_isInGEL_isSuperGlobal,whilePlaying_isInGEL_isSuperGlobal_comment,whilePlaying_isInPL,whilePlaying_isInPJL,whilePlaying_isInPJL_comment,whilePlaying_isInObjectRenderedLimit,whilePlaying_isInObjectRenderedLimit_comment,whilePlaying_isInCollectedCoinLimit,whilePlaying_otherLimit,whilePlaying_otherLimit_comment,whilePlaying_otherLimit_isUnknown,canRespawn,canRespawn_online,canRespawn_online_inABlock,behaviour_solo,behaviour_localCoop,behaviour_onlineCoop,behaviour_onlineVS,offscreenSpawningAndDespawningReferencePoint,offscreenSpawningHorizontalRange,offscreenDespawningHorizontalRange,offscreenSpawningUpwardVerticalRange,offscreenDespawningUpwardVerticalRange,offscreenSpawningDownwardVerticalRange,offscreenDespawningDownwardVerticalRange,dimension,dimension_maximum,dimension_differentSM3DW,dimension_maximum_differentSM3DW,inDayTime,inNightTime,inGroundTheme,inUndergroundTheme,inUnderwaterTheme,inDesertTheme,inSnowTheme,inSkyTheme,inForestTheme,inGhostHouseTheme,inAirshipTheme,inCastleTheme,inSMBGameStyle,inSMB3GameStyle,inSMWGameStyle,inNSMBUGameStyle,inSM3DWGameStyle,hasANameReferencedInMarioMaker,english,americanEnglish,europeanEnglish,french,canadianFrench,europeanFrench,german,spanish,americanSpanish,europeanSpanish,italian,dutch,portuguese,americanPortuguese,europeanPortuguese,russian,japanese,chinese,traditionalChinese,simplifiedChinese,korean
Entity,2,v3.0.0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Item,TRUE,TRUE,,TRUE,,FALSE,FALSE,,TRUE,Power-up Limit (Editor),Power-up Limit,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,Dim light,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,“Staccato” string,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,N/A,Power-up Limit (Editor),FALSE,FALSE,,FALSE,,TRUE,FALSE,,FALSE,,FALSE,,,FALSE,If not collected,TRUE,TRUE,S1P,S1-4P / EPB / AFP,S1-4P / AFP,S1-4P / AFP,Edge,3,66,2,34,2,34,1x1,,,,this,this,this,this,this,this,this,this,this,this,this,this,SMB2 Mushroom,Frog Suit,Power Balloon,this,Boomerang Flower,TRUE,Super Acorn,,,Super gland,,,Super-Eichel,Superbellota,,,Super ghianda,Supereikel,,Supernoz,Superbolota,Супержелудь,スーパードングリ,,超級橡栗,超级橡栗,슈퍼도토리
Entity,2,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Item,TRUE,TRUE,,TRUE,,FALSE,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,N/A,Power-up Limit (Editor),FALSE,FALSE,,FALSE,,TRUE,FALSE,,FALSE,,FALSE,,,FALSE,If not collected,TRUE,TRUE,S1P,S1-4P / EPB / AFP,S1-4P / AFP,S1-4P / AFP,Edge,3,66,2,34,2,34,1x1,,,,this,,this,this,this,this,this,this,this,this,this,this,Big Mushroom,SMB2 Mushroom,Super Leaf,Propeller Mushroom,this,TRUE,Super Bell,,,Super clochette,,,Superglocke,Supercampana,,,Super campanella,Superbel,,Supersino,Superguizo,Суперколокольчик,スーパーベル,,超級鈴鐺,超级铃铛,슈퍼벨
Entity,2,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Item,TRUE,TRUE,,TRUE,,FALSE,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,N/A,Power-up Limit (Editor),FALSE,FALSE,,FALSE,,TRUE,FALSE,,FALSE,,FALSE,,,FALSE,If not collected,TRUE,TRUE,S1P,S1-4P / EPB / AFP,S1-4P / AFP,S1-4P / AFP,Edge,3,66,2,34,2,34,1x1,,,,this,,this,this,this,this,this,this,this,this,this,this,,,,,this,TRUE,Super Hammer,,,Super marteau,,,Superhammer,Supermartillo,,,Super martello,Superhamer,???,,,Супермолот,スーパーハンマー,,超級鎚子,超级锤子,슈퍼해머
Projectile,2,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Float,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,For each projectiles (5),N/A,,FALSE,TRUE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,Player’s Builder Box Limit,,FALSE,,,,,,,,,,,,,,,1x1,,,,this,,this,this,this,this,this,this,this,this,this,this,,,,,this,TRUE,Builder Box thrown by a player,,,,Caisse de construction lancé par un joueur,Caisse d’ouvrier lancé par un joueur,???,???,,,???,???,???,,,???,???,,???,???,???
Entity,2,v3.0.0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Item,TRUE,TRUE,,TRUE,,FALSE,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,N/A,Power-up Limit (Editor),FALSE,FALSE,,FALSE,,TRUE,FALSE,,FALSE,,FALSE,,,FALSE,If not collected,TRUE,TRUE,S1P,S1-4P / EPB / AFP,S1-4P / AFP,S1-4P / AFP,Edge,3,66,2,34,2,34,1x1,,,,this,,this,this,this,this,this,this,this,this,this,this,SMB2 Mushroom,Frog Suit,Power Balloon,Super Acorn,this,TRUE,Boomerang Flower,,,Fleur boomerang,,,Bumerangblume,,Flor bumerán,Flor boomerang,Fiore boomerang,Boemerangbloem,Flor bumerangue,,,Цветок-бумеранг,ブーメランフラワー,,迴旋鏢花,回旋镖花,부메랑플라워
Projectile,2,v3.0.0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,For each projectile (1),N/A,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,Player’s Boomerang Limit,,FALSE,,,,,,,,,,,,,,,,,,,this,,this,this,this,this,this,this,this,this,this,this,,,,,this,FALSE,Boomerang thrown by a player,,,Boomerang lancé par un joueur,,,???,???,,,???,???,???,,,???,???,???,,,???
Entity,2,v3.0.0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Item,FALSE,TRUE,,TRUE,,FALSE,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,,,TRUE,FALSE,FALSE,Parachute,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,N/A,Power-up Limit (Editor),FALSE,FALSE,,FALSE,,TRUE,FALSE,,FALSE,,FALSE,,,FALSE,If not collected,TRUE,TRUE,S1P,S1-4P / EPB / AFP,S1-4P / AFP,S1-4P / AFP,Edge,3,66,2,34,2,34,1x1,,,,this,,this,this,this,this,this,this,this,this,this,this,,,,,this,TRUE,Cannon Box,,,Boîte canon,,,Kanoen-Box,Caja cañón,,,Cubo cannone,Kanondoos,Caixa canhão,,,Ящик-пушка,ほうだいボックス,炮台箱,,,발사대박스
Projectile,2,v3.0.0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,For each projectiles (10?),N/A,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,Player’s Cannonball Limit,,FALSE,,,,,,,,,,,,,,,1x1,,,,this,,this,this,this,this,this,this,this,this,this,this,,,,,this,FALSE,Cannonball thrown by a player,,,Boulet de canon lancée par un joueur,,,???,???,,,???,???,???,,,???,???,???,,,???
Entity,2,v3.0.0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Item,FALSE,TRUE,,TRUE,,FALSE,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,,,TRUE,FALSE,FALSE,Parachute,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,N/A,Power-up Limit (Editor),FALSE,FALSE,,FALSE,,TRUE,FALSE,,FALSE,,FALSE,,,FALSE,If not collected,TRUE,TRUE,S1P,S1-4P / EPB / AFP,S1-4P / AFP,S1-4P / AFP,Edge,3,66,2,34,2,34,1x1,,,,this,,this,this,this,this,this,this,this,this,this,this,,,,,this,TRUE,Propeller Box,,,,Boîte hélico,Boîte à hélice,Propeller-Box,,Caja de hélice,Caja helicóptero,Cubo elica,Propellerdoos,Caixa-hélice,,,Ящик с пропеллером,プロペラボックス,,螺旋槳箱,螺旋桨箱,프로펠러박스
Entity,2,v3.0.0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Item,FALSE,TRUE,,TRUE,,FALSE,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,,,TRUE,FALSE,FALSE,Parachute,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,N/A,Power-up Limit (Editor),FALSE,FALSE,,FALSE,,TRUE,FALSE,,FALSE,,FALSE,,,FALSE,If not collected,TRUE,TRUE,,,,,Edge,3,66,2,34,2,34,1x1,,,,this,,this,this,this,this,this,this,this,this,this,this,,,,,this,TRUE,Goomba Mask,,,Masque Goomba,,,Gumba-Maske,,Careta goomba,Careta Goomba,Maschera di Goomba,Goomba-masker,Máscara Goomba,,,Маска гумбы,ハリボテクリボー,,紙糊栗宝宝,纸糊栗宝宝,흉내굼바
Entity,2,v3.0.0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Item,FALSE,TRUE,,TRUE,,FALSE,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,,,TRUE,FALSE,FALSE,Parachute,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,N/A,Power-up Limit (Editor),FALSE,FALSE,,FALSE,,TRUE,FALSE,,FALSE,,FALSE,,,FALSE,If not collected,TRUE,TRUE,S1P,S1-4P / EPB / AFP,S1-4P / AFP,S1-4P / AFP,Edge,3,66,2,34,2,34,1x1,,,,this,,this,this,this,this,this,this,this,this,this,this,,,,,this,TRUE,Bullet Bill Mask,,,Masque Bill Balle,,,Kugelwilli-Maske,,Careta Bill bala,Careta Bill Bala,Maschera di Pallottolo Bill,Bullet Bill-masker,???,,,Маска билла-пули,ハリボテキラー,,紙糊炮彈刺客,纸糊炮弹刺客,흉내킬러
Entity,2,v3.0.0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Item,FALSE,TRUE,,TRUE,,FALSE,FALSE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,,,TRUE,FALSE,FALSE,Parachute,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,N/A,Power-up Limit (Editor),FALSE,FALSE,,FALSE,,TRUE,FALSE,,FALSE,,FALSE,,,FALSE,If not collected,TRUE,TRUE,,,,,Edge,3,66,2,34,2,34,1x1,,,,this,,this,this,this,this,this,this,this,this,this,this,,,,,this,TRUE,Red POW Box,,,Boîte POW rouge,,,Rote POW-Box,Caja POW roja,,,Cubo POW rosso,Rode POW-doos,???,,,Красный ящик «POW»,あかPOWボックス,,紅色POW箱,红色POW箱,빨강 POW 박스
Entity,1,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Item,FALSE,TRUE,,TRUE,,FALSE,FALSE,,TRUE,Power-up Limit (Editor),Power-up Limit,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,?,Full light,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Music box,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,Power-up Limit (Editor),Power-up Limit (Editor),FALSE,FALSE,,FALSE,,TRUE,FALSE,,FALSE,,FALSE,,,FALSE,If not collected,TRUE,TRUE,S1P,S1-4P / EPB / AFP,S1-4P / AFP,S1-4P / AFP,Edge,3,66,2,34,2,34,1x1,,,,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,TRUE,Super Star,,,Super étoile,,,Superstern,Superestrella,,,Super stella,Superster,Superestrela,,,Суперзвезда,スーパースター,,無敵星,无敌星,슈퍼스타
Entity,1,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Item,FALSE,TRUE,,TRUE,,FALSE,FALSE,,TRUE,Power-up Limit (Editor),Power-up Limit,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,Dim light,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Organ,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,Power-up Limit (Editor),Power-up Limit (Editor),FALSE,FALSE,,FALSE,,TRUE,FALSE,,FALSE,,FALSE,,,FALSE,TRUE,TRUE,TRUE,S1P,S1-4P / EPB,S1-4P,S1-4P,Edge,3,66,2,34,2,34,1x1,,,,this,Rotten Mushroom,this / Rotten Mushroom,this,this,this,this,this,this,this,this,this,this,this,this,this,this,TRUE,1-Up Mushroom,,,,Champignon 1-UP,Champignon 1UP,1-Up-Pilz,Champiñón vida extra,,,Fungo 1-UP,1UP-paddenstoel,,Cogumelo vida extra,Cogumelo 1UP,Гриб жизни,1UPキノコ,1UP蘑菇,,,1-UP버섯
Entity,2,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Item,FALSE,TRUE,,TRUE,,FALSE,FALSE,,TRUE,Power-up Limit (Editor),Power-up Limit,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,Dim light,?,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Synthetic bass,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,N/A,Power-up Limit (Editor),FALSE,FALSE,,FALSE,,TRUE,FALSE,,FALSE,,FALSE,,,FALSE,TRUE,FALSE,FALSE,S1P,S1-4P / EPB,S1-4P,S1-4P,Edge,3,66,2,34,2,34,1x1,,,,1-Up Mushroom,this,this / 1-Up Mushroom,1-Up Mushroom,1-Up Mushroom,1-Up Mushroom,1-Up Mushroom,1-Up Mushroom,1-Up Mushroom,1-Up Mushroom,1-Up Mushroom,1-Up Mushroom,this,this,this,this,,TRUE,Rotten Mushroom,,,Champignon pourri,,,Faulpilz,Champiñón rancio,,,Fungo marcio,Bedorven paddenstoel,Cogumelo podre,,,Гнилогриб,くさったキノコ,,腐爛蘑菇,腐烂蘑菇,부패버섯
Entity,1,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Item,TRUE,TRUE,,TRUE,,TRUE,FALSE,,TRUE,General Entity Limit (Editor),General Entity Limit,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2,Dim light,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Accordion (bass sound),TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,General Entity Limit (Editor),General Entity Limit (Editor),FALSE,TRUE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,,FALSE,TRUE,?,?,,,,,?,,,,,,,1x1,2x2,,,this,this,this,this,this,this,this,this,this,this,this,this,this,this,Yoshi’s Egg,Yoshi’s Egg,,TRUE,Shoe Goomba,,,Goomba chaussure,,,Schuh-Gumba,Goomba en zapato,,,Goomba scarpa,Shoe Goomba,???,,,Гумба-башмак,くつクリボー,,鞋子栗寶寶,鞋子栗宝宝,신발굼바
(Entity),1,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Wood block,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,,FALSE,FALSE,,FALSE,,TRUE,FALSE,,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,1x1,2x2,,,this,this,this,this,this,this,this,this,this,this,this,this,this,this,,,,TRUE,Shoe,,,Chaussure,,,Schuh,Zapato,,,Scarpa,Schoen,???,,,Башмак,くつ,鞋子,,,신발
Entity,1,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Item,TRUE,TRUE,,TRUE,,TRUE,FALSE,,TRUE,General Entity Limit (Editor),General Entity Limit,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2,Dim light,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Accordion (treble sound),TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,General Entity Limit (Editor),General Entity Limit (Editor),FALSE,TRUE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,,FALSE,TRUE,?,?,,,,,?,,,,,,,1x1,2x2,,,this,this,this,this,this,this,this,this,this,this,this,this,this,this,Red Yoshi’s Egg,Red Yoshi’s Egg,,TRUE,Stiletto Goomba,,,Goomba talon aiguille,,,Stöckel-Gumba,Goomba en zapato de tacón,,,Goomba col tacco,Stiletto Goomba,???,,,Гумба-сапог,クイーンくつクリボー,,女王鞋子栗寶寶,女王鞋子栗宝宝,하이힐굼바
(Entity),1,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Wood block,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,,FALSE,FALSE,,FALSE,,TRUE,FALSE,,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,1x1,2x2,,,this,this,this,this,this,this,this,this,this,this,this,this,this,this,,,,FALSE,Stiletto,,,Talon aiguille,,,Stöckel,Zapato de tacón,,,Scarpa col tacco,Stiletto,???,,,Сапог,クイーンくつ,女王鞋子,,,하이힐
Entity,1,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Item,TRUE,TRUE,,TRUE,,TRUE,FALSE,,TRUE,General Entity Limit (Editor),General Entity Limit,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,Dim light,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Cowbell,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,General Entity Limit (Editor),General Entity Limit (Editor),FALSE,TRUE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,,FALSE,TRUE,TRUE,TRUE,S1P,S1-4P / EPB,S1-4P,S1-4P,Edge,2,,,,,,1x1,,,,this,this,this,this,this,this,this,this,this,this,this,this,Shoe Goomba,Shoe Goomba,this,this,,TRUE,Yoshi’s Egg,,,Œuf de Yoshi,,,Toshi-Ei,Huevo de yoshi,,,Uovo di yoshi,Yoshi-ei,Ovo de Yoshi,,,Яйцо йоши,ヨッシーのタマゴ,耀西蛋,,,요시의 알
(Entity),1,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,Full light,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Zurna,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,Hatched Yoshi Limit,,FALSE,,,,,,,,,,,,,,,1x1,,,,this,this,this,this,this,this,this,this,this,this,this,this,,,this,this,,TRUE,Yoshi,,,Yoshi,,,Toshi,Yoshi,,,Yoshi,Yoshi,Yoshi,,,Йоши,ヨッシー,耀西,,,요시
Projectile,1,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Full light,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,For each projectiles (1|3),,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,this,this,this,this,this,this,this,this,this,this,this,this,,,this,this,,FALSE,Fire thrown by a Yoshi,,,Feu lancé par un Yoshi,,,???,???,,,???,???,???,,,???,???,???,,,???
Projectile,1,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Full light,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,For each projectiles (1|3),N/A,,FALSE,FALSE,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,this,this,this,this,this,this,this,this,this,this,this,this,,,this,this,,FALSE,Poison thrown by a Yoshi,,,Poison lancé par un Yoshi,,,???,???,,,???,???,???,,,???,???,???,,,???
